,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,I_0,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,IR_0,IR_1,IR_2,IR_3,IR_4,IR_5,IR_6,IR_7,IR_8,IR_9,IR_10
828,-3.55,-2.068,-1.711,-1.343,-1.127,-0.909,0.031,0.367,0.858,1.052,1.215,-0.243,-0.181,-0.125,-0.113,-0.09,-0.043,0.021,0.084,0.126,0.138,0.176,-0.641,-0.131,-0.088,-0.079,-0.06,-0.02,0.025,0.072,0.132,0.362,0.501
829,-4.09,-1.634,-1.312,-1.185,-0.892,-0.875,-0.277,0.604,0.729,1.332,1.795,-0.328,-0.223,-0.159,-0.144,-0.138,-0.1,-0.058,0.104,0.156,0.221,0.381,-0.415,-0.354,-0.159,-0.113,-0.093,-0.063,-0.021,0.071,0.147,0.314,0.952
830,-4.368,-2.124,-1.419,-1.012,-0.917,-0.835,-0.558,0.308,0.574,0.615,1.726,-0.359,-0.16,-0.111,-0.095,-0.08,-0.058,-0.05,0.062,0.082,0.106,0.162,-0.293,-0.163,-0.118,-0.08,-0.061,-0.044,-0.028,0.087,0.133,0.16,0.393
831,-8.585,-3.089,-2.407,-2.312,-2.07,-1.39,-1.204,-1.038,-0.546,0.309,0.524,-0.206,-0.191,-0.189,-0.175,-0.163,-0.099,-0.089,-0.049,-0.036,0.171,0.299,-0.407,-0.22,-0.102,-0.086,-0.069,-0.057,-0.033,-0.022,-0.016,0.35,1.122
832,-3.292,-2.28,-1.763,-1.559,-1.182,-0.994,-0.761,0.405,0.537,1.026,1.509,-0.421,-0.284,-0.224,-0.179,-0.166,-0.112,-0.054,0.082,0.185,0.32,0.408,-0.318,-0.234,-0.157,-0.137,-0.113,-0.067,-0.031,0.08,0.21,0.547,0.772
833,-2.322,-1.541,-1.475,-1.147,-0.906,-0.731,-0.617,0.477,0.717,0.906,1.903,-0.287,-0.197,-0.146,-0.129,-0.117,-0.115,-0.088,0.098,0.133,0.171,0.249,-0.431,-0.173,-0.156,-0.125,-0.107,-0.077,-0.069,0.112,0.136,0.217,0.39
834,-6.318,-3.398,-2.61,-1.839,-1.409,-1.24,-0.924,-0.64,0.283,0.583,1.437,-0.426,-0.333,-0.237,-0.195,-0.172,-0.145,-0.104,-0.058,0.054,0.167,0.325,-0.507,-0.254,-0.141,-0.12,-0.113,-0.108,-0.053,-0.029,0.04,0.282,0.724
835,-2.007,-1.714,-1.417,-1.181,-1.035,-0.816,-0.476,0.512,0.703,0.803,1.657,-0.308,-0.194,-0.174,-0.165,-0.09,-0.078,-0.056,0.086,0.129,0.14,0.218,-0.378,-0.209,-0.159,-0.142,-0.107,-0.056,-0.039,0.085,0.176,0.21,0.402
836,-7.183,-2.418,-1.943,-1.75,-1.264,-1.098,-0.908,-0.657,0.34,0.502,0.781,-0.159,-0.125,-0.108,-0.103,-0.082,-0.076,-0.059,-0.03,0.1,0.115,0.156,-0.608,-0.105,-0.073,-0.065,-0.051,-0.04,-0.031,-0.016,0.146,0.248,0.425
837,-2.222,-1.467,-1.259,-1.11,-0.832,-0.548,-0.377,0.272,0.553,0.634,0.722,-0.329,-0.175,-0.141,-0.108,-0.059,-0.051,-0.045,0.031,0.069,0.135,0.176,-0.201,-0.158,-0.124,-0.097,-0.094,-0.086,-0.062,0.061,0.192,0.245,0.29
838,-3.288,-1.305,-1.074,-0.985,-0.937,-0.658,-0.414,0.237,0.402,0.594,1.271,-0.372,-0.18,-0.122,-0.062,-0.049,-0.041,-0.027,0.02,0.041,0.063,0.081,-0.142,-0.136,-0.118,-0.113,-0.074,-0.065,-0.029,0.016,0.069,0.181,0.229
839,-6.842,-3.468,-1.974,-1.103,-0.653,-0.527,0.344,0.556,0.881,1.575,2.568,-0.44,-0.402,-0.105,-0.075,-0.063,-0.039,0.063,0.073,0.093,0.113,0.172,-0.215,-0.141,-0.126,-0.096,-0.052,-0.023,0.038,0.061,0.113,0.165,0.387
840,-3.406,-2.736,-1.783,-1.587,-1.419,-1.114,-0.702,-0.098,0.575,0.69,1.51,-0.235,-0.193,-0.18,-0.146,-0.113,-0.101,-0.094,-0.016,0.135,0.154,0.326,-0.616,-0.232,-0.116,-0.088,-0.074,-0.068,-0.036,0.003,0.172,0.275,0.589
841,-3.093,-2.479,-1.659,-1.313,-1.014,-0.835,-0.712,0.048,0.519,0.606,0.716,-0.326,-0.179,-0.13,-0.095,-0.088,-0.083,-0.059,0.031,0.154,0.184,0.28,-0.263,-0.175,-0.119,-0.068,-0.06,-0.05,-0.047,0.059,0.258,0.363,0.514
842,-5.929,-3.274,-1.9,-1.425,-1.134,-0.842,-0.295,0.424,0.552,0.681,0.879,-0.236,-0.192,-0.164,-0.146,-0.094,-0.071,-0.019,0.072,0.088,0.1,0.466,-0.18,-0.145,-0.122,-0.095,-0.067,-0.042,0.011,0.129,0.158,0.184,0.679
843,-2.913,-1.983,-1.466,-1.119,-0.972,-0.644,-0.175,0.446,0.678,0.832,2.584,-0.162,-0.108,-0.103,-0.062,-0.047,-0.038,-0.012,0.045,0.079,0.122,0.214,-0.252,-0.15,-0.091,-0.055,-0.033,-0.023,-0.001,0.059,0.112,0.2,0.311
844,-2.894,-1.989,-1.68,-1.54,-1.354,-1.062,-0.887,-0.68,0.505,0.723,1.18,-0.348,-0.272,-0.183,-0.138,-0.097,-0.064,-0.06,-0.035,0.164,0.243,0.381,-0.452,-0.193,-0.142,-0.079,-0.071,-0.061,-0.042,-0.015,0.227,0.299,0.596
845,-3.079,-2.195,-1.313,-1.138,-0.952,-0.737,-0.703,0.374,0.554,0.728,1.407,-0.271,-0.18,-0.126,-0.121,-0.114,-0.097,-0.058,0.058,0.105,0.179,0.194,-0.629,-0.21,-0.161,-0.113,-0.092,-0.045,-0.041,0.102,0.152,0.211,0.421
846,-2.448,-2.043,-1.781,-1.167,-0.864,-0.814,-0.496,0.27,0.623,0.706,2.012,-0.28,-0.229,-0.209,-0.133,-0.096,-0.09,-0.058,0.037,0.092,0.21,0.232,-0.384,-0.327,-0.125,-0.104,-0.084,-0.076,-0.053,0.015,0.107,0.311,0.412
